,h3_9,age_20,age_20_30,age_30_40,age_40_60,age_60,male,female,car_owners,carsharing_user,not_citizen_rf,public_trnsprt_user,healthy_food_inter,salary_1,salary_2,salary_3,salary_4,salary_5
96,89110484d07ffff,0,0,1,4,0,4,1,1,0,3,0,0,2,1,1,0,0
97,8911aa4c893ffff,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
98,891181b2ecfffff,0,1,44,0,0,45,0,1,0,44,0,0,1,0,0,0,0
99,891106326c3ffff,0,121,35,135,73,200,208,67,42,185,4,5,100,39,48,4,38
100,89113218e8bffff,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0
101,891106c649bffff,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0
102,89110677477ffff,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0
103,89101baf333ffff,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1
104,8911060a863ffff,0,1,2,5,1,4,5,3,1,4,0,0,3,4,0,2,0
105,891104805dbffff,0,0,2,0,0,2,0,1,0,1,0,0,1,0,0,0,1
106,890bb03428fffff,0,0,0,22,0,22,0,0,0,22,0,0,0,0,22,0,0
107,89110600ba3ffff,0,0,12,7,2,12,9,12,2,6,0,0,6,0,0,2,12
108,89161672d37ffff,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
109,891106ab077ffff,0,8,324,143,25,268,243,161,61,173,0,0,221,29,113,59,36
110,891102501abffff,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
111,8911aa7a86bffff,0,5,0,1,0,1,5,5,5,1,0,0,0,1,4,0,0
112,891181b602bffff,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0
113,89112262173ffff,0,0,36,6,0,6,36,0,0,42,0,0,6,0,0,0,36
114,8911063a35bffff,0,13,69,171,17,191,79,99,8,142,5,6,65,42,73,75,8
115,89316dc2bdbffff,0,0,1,0,1,0,2,1,0,1,0,0,2,0,0,0,0
116,8911800c37bffff,0,55,0,0,0,0,55,55,0,55,0,0,0,0,0,0,55
117,891106a9e7bffff,1,61,115,128,47,256,135,130,82,232,34,1,175,69,27,58,6
118,89110602b8bffff,2,62,40,133,37,219,135,120,46,138,10,8,85,61,29,14,111
119,8911aa6907bffff,78,0,0,3,0,78,3,0,0,81,0,0,78,0,3,0,0
120,8911061546fffff,43,64,137,237,156,259,382,278,41,356,5,29,224,75,37,62,45
121,89110602cc7ffff,0,0,11,0,0,9,2,0,0,2,1,0,2,3,0,0,0
122,89113142a0fffff,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
123,8911aa70e43ffff,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0
124,8911020538bffff,0,0,2,2,0,8,0,1,1,3,0,0,0,0,0,0,3
125,8911067652bffff,0,2,1,11,3,9,9,6,2,9,2,1,3,3,5,5,0
126,891106a9577ffff,0,3,4,0,0,3,4,3,7,3,0,0,4,3,0,0,0
127,8925756c177ffff,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
128,8911067aa77ffff,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
129,891106025dbffff,0,23,24,33,25,71,42,31,13,51,0,0,32,41,18,3,8
130,89111099dabffff,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
131,892d568564bffff,0,0,1,0,0,4,1,1,0,0,0,0,0,0,1,0,0
132,89110615b47ffff,13,25,180,161,56,333,138,105,27,195,26,2,202,45,80,36,6
133,8911060b377ffff,0,5,42,50,17,110,13,12,9,36,3,0,31,25,6,5,11
134,891106b0187ffff,0,1,18,21,0,36,10,15,6,29,17,0,5,0,2,7,19
135,89113103273ffff,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
136,891106009bbffff,0,0,0,4,2,5,4,0,0,1,0,0,3,0,1,3,0
137,89110604eabffff,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0
138,892d440e213ffff,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
139,8911046645bffff,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
140,891f73c2d47ffff,0,0,29,46,0,0,75,75,0,0,0,0,46,0,29,0,0
141,8910d9a2807ffff,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
142,891106a00cfffff,46,95,246,300,9,546,181,152,29,520,0,1,92,118,176,11,23
143,89110604c43ffff,1,28,102,230,125,262,285,98,85,316,86,0,56,196,65,53,86
144,8911312b63bffff,0,1,4,8,0,9,4,9,1,7,0,0,9,0,0,0,1
145,89110615257ffff,4,7,20,20,10,23,38,15,3,36,0,0,29,19,3,2,1
146,8911030dda3ffff,0,0,1,0,1,0,2,1,0,1,0,0,1,1,0,0,0
147,892d7201627ffff,0,47,0,0,0,0,47,1,1,47,0,0,1,0,46,0,0
148,8911060556bffff,0,0,4,0,1,3,2,0,1,2,0,0,0,1,1,0,2
149,8911060dd87ffff,0,0,2,5,10,10,7,4,1,7,0,6,4,0,6,0,0
150,891106a8e87ffff,0,3,96,37,22,68,90,33,25,107,0,0,34,67,1,25,1
151,891106069c3ffff,0,20,24,38,3,67,21,25,4,61,0,1,21,18,11,5,20
152,8910b1d4ac7ffff,0,0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,1
153,891106ad2abffff,0,0,13,7,1,13,8,8,5,10,1,4,1,0,2,0,15
154,8911aa78e6fffff,0,2,0,19,1,7,18,12,2,15,0,10,6,5,0,0,11
155,8914d645a0fffff,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0
156,89110608e47ffff,0,73,93,86,42,91,207,208,13,112,1,0,111,75,85,6,2
157,89110608623ffff,0,1,0,1,0,0,2,1,0,0,0,0,2,0,0,0,0
158,89110615adbffff,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
159,891106192b7ffff,0,0,0,2,0,0,2,0,0,1,0,0,1,1,0,0,0
160,892d5610b6fffff,0,0,0,1,8,1,8,1,0,0,0,8,0,8,0,0,0
161,89118572e0fffff,0,0,8,20,0,0,28,0,0,28,0,0,0,0,0,0,0
162,89110631a97ffff,0,23,0,14,0,12,25,3,0,29,0,1,7,7,17,2,0
163,891f716930bffff,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2
164,8910d584c2bffff,0,0,0,10,0,10,0,0,0,10,0,0,10,0,0,0,0
165,89110631ccbffff,18,98,218,166,27,504,251,221,29,305,6,24,162,95,152,125,24
166,89110606a8fffff,1,52,146,50,17,124,153,162,48,179,32,0,34,48,13,98,2
167,89110606427ffff,0,1,47,10,12,32,40,34,34,32,0,0,9,0,21,35,1
168,89108568d37ffff,11,0,0,0,0,11,0,11,11,11,0,0,0,11,0,0,0
169,8911aa633abffff,0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0
170,89110677067ffff,1,0,1,0,1,1,2,1,1,0,0,0,1,0,1,0,1
171,891f716938bffff,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
172,891106acc4fffff,0,14,19,10,11,32,24,20,2,27,0,1,26,8,0,9,4
173,892d733832bffff,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
174,89110620b73ffff,0,0,0,6,0,4,2,1,1,0,0,0,0,0,5,1,0
175,8911067959bffff,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
176,8911030f14bffff,0,2,1,0,1,3,1,2,0,4,0,0,1,0,0,2,1
177,892d729223bffff,0,0,0,7,0,5,2,7,2,7,0,0,7,0,0,0,0
178,89110468dbbffff,0,2,1,1,0,2,2,1,0,2,0,0,1,0,2,0,0
179,8911068d033ffff,0,0,0,2,0,1,1,0,0,2,0,0,0,1,0,0,0
180,89113142e57ffff,0,0,0,4,0,4,0,0,0,4,0,0,0,1,0,0,0
181,89110600c1bffff,0,2,0,0,0,2,0,2,0,1,0,0,0,0,0,0,2
182,89118bc6d73ffff,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1
183,8911060456bffff,0,67,95,92,16,118,222,125,77,193,5,0,28,118,14,10,69
184,8911aa79d37ffff,0,11,0,1,0,11,1,0,0,12,0,1,0,11,0,0,0
185,892d45d8823ffff,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0
186,89110655d77ffff,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
187,89110646c7bffff,0,0,1,1,0,2,0,0,0,2,0,0,1,0,0,0,1
188,89110619d1bffff,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0
189,892d568548bffff,0,0,0,2,3,2,3,0,0,2,0,0,0,3,0,0,0
190,89110609c9bffff,0,0,2,3,0,2,3,0,0,5,0,0,0,0,0,0,0
191,8911061504fffff,3,0,18,11,13,26,21,13,7,15,0,0,23,2,7,3,2
192,89113142acbffff,0,3,7,2,6,11,7,6,3,9,1,0,3,3,0,3,5
193,8911ac2030bffff,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
194,892d762f3d7ffff,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
195,89118d66837ffff,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
196,891f73cd163ffff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,89110605033ffff,0,3,2,2,3,6,4,5,6,7,0,0,6,0,0,3,0
198,890b9a7632fffff,0,15,1,0,0,16,0,16,0,1,0,0,1,15,0,0,0
199,8911330e98bffff,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
200,8911060b323ffff,0,0,2,5,1,10,2,2,0,5,0,0,4,0,2,0,2
201,8911a0db2d7ffff,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
202,89110441b33ffff,0,10,0,3,0,3,10,11,0,11,0,0,1,0,1,0,10
203,891106ce167ffff,0,0,22,10,10,50,16,5,3,10,0,0,5,0,5,18,22
204,89113176877ffff,0,0,1,1,10,26,3,0,0,2,0,0,9,3,0,0,15
205,89110602b8fffff,0,12,118,71,58,175,118,68,30,107,2,12,74,52,44,12,31
206,8911044f29bffff,0,2,13,15,61,92,0,24,14,14,10,0,4,0,15,10,0
207,891106a94c3ffff,0,0,1,1,0,0,2,0,0,1,1,0,2,0,0,0,0
208,891106a9947ffff,0,1,3,1,2,5,3,5,1,4,0,0,2,2,2,0,0
209,89110604eafffff,0,0,0,13,4,12,5,8,0,1,0,0,0,9,8,0,0
210,891133622dbffff,0,0,4,3,6,10,6,1,0,5,0,0,0,4,2,1,0
211,89110616953ffff,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
212,89110689e4bffff,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
213,89110e16c67ffff,0,0,0,0,3,4,0,3,3,0,0,0,0,3,0,0,0
214,891106a8e83ffff,1,24,53,77,10,120,68,27,28,101,18,5,43,34,4,22,27
215,8911321a003ffff,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3
216,891104664cfffff,1,0,0,4,2,4,3,1,0,3,0,0,3,2,1,0,0
217,891106a9b3bffff,0,1,0,4,0,7,2,0,0,3,0,0,3,2,4,0,0
218,891f68a2883ffff,0,0,0,2,0,1,1,1,0,1,0,0,0,1,0,0,0
219,891106d2e7bffff,0,5,24,32,66,49,79,90,2,11,0,0,78,1,7,21,20
220,8911060d3d7ffff,0,1,5,12,13,15,18,5,1,8,2,0,9,9,4,5,1
221,892d5610b8fffff,0,0,0,0,0,1,31,31,0,0,0,0,0,0,0,0,0
222,891106af253ffff,0,0,2,1,0,2,1,1,0,1,0,0,1,0,2,0,0
223,8911060add7ffff,0,4,51,75,24,141,25,71,1,70,1,0,37,40,28,40,6
224,892d56b9a93ffff,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0
225,8911812c9c3ffff,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
226,891106a95dbffff,0,31,115,134,17,118,195,127,88,184,1,37,67,35,50,58,43
227,8911ac2640bffff,0,0,0,9,0,0,9,0,0,0,0,0,0,9,0,0,0
228,892d7351917ffff,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
229,89110674bb7ffff,0,1,0,1,0,1,1,0,0,2,0,0,1,1,0,0,0
230,89110604ccbffff,0,0,3,7,0,3,8,0,0,4,0,0,1,5,1,0,0
231,89118520993ffff,0,10,0,0,0,0,10,10,10,0,10,0,10,0,0,0,0
232,8910354352fffff,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
233,89110602db3ffff,0,1,7,15,17,15,32,4,1,27,0,0,22,2,2,2,1
234,89110614b5bffff,0,5,8,27,3,34,11,18,2,26,0,1,11,2,19,8,4
235,89113112e4bffff,0,1,0,1,0,0,2,0,1,1,0,1,1,0,0,0,1
236,891106a9ba7ffff,0,0,12,6,1,13,8,7,1,11,0,0,7,7,4,0,0
237,891106670d7ffff,0,1,27,46,15,62,27,19,5,28,1,5,23,42,5,1,8
238,8911066e157ffff,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
239,891181c53a3ffff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,892d45c54c3ffff,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
241,891106adeb7ffff,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
242,891106adc73ffff,0,0,5,7,1,6,10,7,2,10,0,0,3,2,6,0,2
243,89110602133ffff,0,1,4,5,3,7,6,3,1,5,1,1,4,4,2,1,2
244,89110441ac7ffff,0,0,8,0,0,8,0,4,0,2,0,0,0,0,0,0,4
245,8911060e1b3ffff,0,1,0,5,0,2,4,1,0,6,0,0,0,1,5,0,0
246,8911aa1325bffff,0,0,11,0,0,11,0,0,11,11,0,0,0,0,11,0,0
247,89119cd25b3ffff,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0
248,891181b6d6fffff,0,0,0,20,0,20,0,0,0,0,0,0,20,0,0,0,0
249,8911aa6a03bffff,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
250,8910decc937ffff,0,3,0,0,0,3,0,3,3,0,0,0,0,0,0,0,3
251,891f71693a7ffff,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
252,892574a4157ffff,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
253,89118859677ffff,0,0,0,21,0,21,0,0,0,0,0,0,21,0,0,0,0
254,8911060c15bffff,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0
255,891106aca73ffff,0,5,37,37,0,52,29,49,2,62,0,6,39,13,5,1,10
256,89118574197ffff,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0
257,89110607343ffff,0,2,2,5,0,6,3,7,2,5,0,0,1,4,3,1,0
258,8911061b2abffff,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0
259,891181c46afffff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,89110615e47ffff,0,1,5,4,2,7,5,6,2,8,0,0,6,0,0,1,2
261,89118c900d3ffff,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
262,8911063b273ffff,0,0,14,8,0,18,11,21,3,15,0,0,3,17,6,3,0
263,8911b108d6fffff,0,0,4,0,1,5,0,1,0,0,0,0,1,0,0,0,0
264,89110445203ffff,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
265,891106ab54fffff,0,20,124,256,108,396,258,320,87,209,1,42,302,148,68,8,10
266,891016455cfffff,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
267,89110655407ffff,0,2,0,4,9,10,6,1,0,10,0,0,2,2,0,1,0
268,891106ab323ffff,0,58,210,140,117,339,207,101,51,254,2,1,155,168,44,22,28
269,8911060dc77ffff,0,0,0,2,0,2,0,0,0,2,0,0,0,1,0,0,0
270,892d440c133ffff,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0
271,89113371eafffff,0,2,1,3,0,13,3,6,4,5,3,0,0,9,3,0,1
272,89111c7908bffff,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,0,0
273,891106a906fffff,1,48,58,106,87,85,226,154,33,176,16,2,152,22,38,47,21
274,8910d9a2923ffff,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,4,0
275,8911aa40ac7ffff,0,1,2,2,2,6,4,3,1,2,1,0,0,0,2,2,2
276,892d54d1a7bffff,0,0,1,1,0,1,1,2,0,1,0,0,0,1,0,1,0
277,89110678357ffff,0,1,4,1,1,5,2,1,0,2,0,4,5,0,0,0,1
278,89111d928b3ffff,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0
279,8911aa1652bffff,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0
280,891106a80abffff,0,24,13,27,0,52,14,15,8,37,0,0,4,1,11,2,9
281,8911a4ad567ffff,0,0,1,19,0,1,19,0,0,19,0,0,0,0,0,0,0
282,8910e9625d3ffff,0,0,4,0,2,0,6,4,0,2,0,0,0,4,0,2,0
283,8911060518fffff,0,0,2,1,12,1,14,13,0,12,0,0,1,1,0,12,0
284,89108204e57ffff,0,0,5,0,0,5,0,5,0,5,0,0,0,0,5,0,0
285,891106a836bffff,0,0,3,6,1,7,3,8,4,2,0,0,1,2,0,4,3
286,89101608b83ffff,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
287,8911060d3cfffff,52,75,119,230,152,435,200,235,62,321,12,0,267,168,44,116,15
288,8911336d6d7ffff,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
289,8911053b19bffff,0,2,0,2,1,2,3,1,0,2,0,0,0,2,1,0,0
290,89110600c43ffff,0,0,0,0,15,14,1,0,0,14,0,0,0,1,0,0,0
291,8911321a1c3ffff,0,0,0,0,15,0,15,0,0,0,0,0,15,0,0,0,0
292,891106a984fffff,0,0,10,9,6,28,5,6,2,15,0,8,10,6,5,11,1
293,891185741cfffff,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
294,8910d2696d3ffff,0,0,5,1,0,0,6,6,1,0,0,0,0,0,5,0,1
295,892d72618cfffff,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
296,8911060132fffff,0,0,2,0,0,2,0,0,0,2,0,0,0,2,0,0,0
297,89110607137ffff,0,4,34,1,1,33,7,33,1,33,2,1,2,1,31,5,0
298,890bb2d888fffff,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
299,891106290b7ffff,0,11,12,19,3,26,21,29,1,26,1,0,9,13,11,2,2
300,8911060404bffff,0,41,65,30,54,126,75,53,32,90,1,1,53,23,36,14,27
301,8911060297bffff,0,26,3,10,17,23,34,32,28,11,1,0,19,3,29,3,1
302,89110622a5bffff,0,36,5,33,23,30,67,16,9,37,2,2,27,25,31,1,0
303,891115add7bffff,0,25,51,110,3,67,122,108,31,104,0,10,81,1,2,65,21
304,8911060829bffff,0,1,12,15,0,12,16,20,2,19,8,1,10,4,2,10,2
